Seed,Algorithm,Model Size,Accuracy,FLOPs,Prediction Flips
0,AGEMOEA,2.576298576276804,0.917027967651449,26.0,2.1974082216213677
0,AGEMOEA,0.38520520269360237,0.8900457515437964,58.0,2.893411893104015
0,AGEMOEA,0.40527753858096016,0.941681904822317,125.0,1.483552561916153
0,AGEMOEA,0.0003732605902468933,0.9213375515583448,166.0,1.6212381802256604
0,AGEMOEA,5.113293379784601,0.9051580043940207,24.0,0.7630595387953178
0,AGEMOEA,0.7914223273862051,0.9038679110703336,71.0,1.667304887478003
0,AGEMOEA,3.106236043303598,0.8920760791512018,268.0,0.8035917711985098
0,AGEMOEA,2.988440484127835,0.9696157261752434,35.0,1.242248589488014
0,AGEMOEA,0.2557570899044741,0.9485003669790294,15.0,6.0178312417276185
0,AGEMOEA,1.6711590002425503,0.9680146970593962,70.0,1.494273841394403
0,AGEMOEA,2.674341974781618,0.9383584995110875,153.0,1.0626815463318413
0,AGEMOEA,0.007580402690254395,0.9675492971582151,67.0,2.533518969171263
0,AGEMOEA,5.744259526223973,0.8774895084058938,6.0,0.6420819059828746
0,AGEMOEA,0.0027882830376677603,0.8255711381766748,38.0,2.4754631534358618
0,AGEMOEA,4.888704673354451,0.927897969021358,18.0,1.5480394263672637
0,AGEMOEA,2.0900274408746484,0.8835213599993228,119.0,1.0872391717721261
0,AGEMOEA,4.328526614073066,0.9511851819820258,8.0,6.779454541196791
0,AGEMOEA,1.5515479447113814,0.9305034607337485,11.0,5.238024076731702
0,AGEMOEA,9.182097487132161,0.9597900581088482,20.0,7.731011892586821
0,AGEMOEA,4.4117965303147235,0.9648102144134431,43.0,0.8301977128324782
0,AGEMOEA,2.891743276347885,0.9156950212498547,61.0,1.1537609791703107
0,AGEMOEA,5.804982003734921,0.9130825881580412,40.0,0.16281632659222117
0,AGEMOEA,4.081787552098428,0.9293097293606218,91.0,0.7916634473763251
0,AGEMOEA,1.4331718179067412,0.9553459606492571,36.0,1.898114848594333
0,AGEMOEA,0.009995418716804316,0.9304412218524859,7.0,4.754973538577215
0,AGEMOEA,2.247987304968977,0.8421368665406319,225.0,1.0465271415626098
0,AGEMOEA,0.03695653966642265,0.9709211820504995,91.0,4.499790331390533
0,AGEMOEA,0.02786703184924022,0.9110176631095994,145.0,2.025208089794439
0,AGEMOEA,0.6627487348748611,0.9193772153613242,23.0,3.051656667646081
0,AGEMOEA,2.4342589590433086,0.8748805673833446,7.0,1.9894432142316956
0,AGEMOEA,5.63508630041755,0.852856217838409,97.0,0.19433313232062285
0,AGEMOEA,3.210252295960077,0.9002103442441624,77.0,0.8985369721142201
0,AGEMOEA,2.4485864428990083,0.9472610590404045,35.0,1.5750740330284525
0,AGEMOEA,1.1417269050516783,0.9664360357224002,86.0,2.0056847341227075
0,AGEMOEA,4.918438137514803,0.9537006704250447,70.0,0.4210419943678422
0,AGEMOEA,2.7061034931584316,0.9595997840295374,105.0,1.3963066301703215
0,AGEMOEA,0.9877370253273217,0.9200891226975589,52.0,3.60524556116537
0,AGEMOEA,26.460368625772986,0.9729898211545267,66.0,11.876064640613704
0,AGEMOEA,5.574534157005269,0.8269176825564217,15.0,0.739967323930786
0,AGEMOEA,2.349473751779518,0.9716307716802697,56.0,3.062885458157732
0,AGEMOEA,3.432296956442249,0.8398254216085674,13.0,1.4555448011654768
0,AGEMOEA,1.5977968014477684,0.8108831636193119,52.0,1.694558524147412
0,AGEMOEA,26.459552508351408,0.9729898211545267,68.0,11.860541331839329
0,AGEMOEA,3.8312645332265927,0.8568134012671588,134.0,0.7357714572097701
0,AGEMOEA,1.2187407858712058,0.9501132831730625,16.0,3.8548502677760252
0,AGEMOEA,9.713348882489212,0.9633920615566567,15.0,11.242243972722687
0,AGEMOEA,3.829523825409289,0.9340884614625998,12.0,2.388411623504584
0,AGEMOEA,0.043048205488862124,0.942808737028212,65.0,2.141646345365559
0,AGEMOEA,1.1600665576006053,0.9475608087450164,32.0,4.547712165337602
0,AGEMOEA,5.248546137695838,0.8837917983537412,147.0,0.24748471015156537
