Tokenizer,Vocab Size,Num Hidden Layers,Hidden Size,Hidden Act,Hidden Dropout Prob,Intermediate Size,Num Attention Heads,Attention Probs Dropout Prob,Max Sequence Length,Position Embedding Type,Learning Rate,Batch Size,Size,Accuracy,FLOPS,Cons>
2,7167,1,54,3,0.3,1675,6,0.3,308,2,2,1,2.485258019650663,0.965,0.875029763963818,9739,45
3,8134,1,54,1,0.3,1639,9,0.3,308,2,3,1,2.6812333198134293,0.94125,0.9467496658239166,13452,46
4,1000,1,54,2,0.2,1959,9,0.2,308,2,2,1,1.2786413185982721,0.96825,0.5161308698218416,15265,26
3,9174,1,54,2,0.3,32,6,0.3,309,2,3,1,2.202562082761892,0.951,0.783642292085472,6442,41
3,6529,1,54,2,0.3,1787,9,0.3,308,3,2,1,2.3961477804483815,0.968,0.8597157278175629,9697,40
3,6762,1,52,2,0.3,32,4,0.3,309,2,3,1,1.6165785686538403,0.9345,0.5906532630030731,6114,51
3,1004,1,54,1,0.3,1618,6,0.3,311,2,3,1,1.1338224357900824,0.92825,0.4632208774614288,13911,41
3,6483,1,54,2,0.3,526,9,0.3,309,2,3,1,1.8384952140999629,0.95425,0.6861977500107532,6092,50
3,6579,1,55,3,0.3,1273,5,0.3,312,2,2,1,2.2299058114355197,0.9585,0.8025514363004006,6470,62
3,1001,1,54,2,0.3,1669,6,0.3,309,3,3,1,1.1512856139385268,0.93975,0.4649936258955268,12982,52
4,7280,1,54,2,0.3,2551,9,0.3,309,2,2,1,2.892017178321882,0.96575,1.0194677300841994,11263,35
3,1022,1,54,2,0.2,1700,9,0.2,311,2,3,1,1.1754871414692172,0.94425,0.4899707593433562,13316,63
3,12090,1,54,1,0.2,530,6,0.2,309,3,3,1,3.0499177527025623,0.9625,1.0488872855242128,9734,52
3,1003,1,52,1,0.2,543,4,0.2,309,3,3,1,0.6338824363897071,0.943,0.2897949165541642,2567,71
3,1000,1,54,1,0.3,1874,9,0.3,309,3,3,1,1.2398856975859427,0.93875,0.5046698218538092,13065,55
3,6372,1,55,2,0.2,1971,5,0.2,308,2,3,1,2.489287842157334,0.966,0.8760740692856186,12244,38
3,12095,1,54,1,0.2,531,6,0.2,310,2,3,1,3.055077930649221,0.96525,1.0526717755901966,4031,36
3,6268,1,54,3,0.3,1638,6,0.3,309,3,3,1,2.275451804516817,0.9425,0.8123936883777357,10529,37
3,6712,1,54,1,0.2,1966,6,0.2,311,3,3,1,2.514522948203976,0.96025,0.8929400183429517,9212,29
2,6465,1,55,1,0.3,34,5,0.3,308,2,3,1,1.6489215895151446,0.93925,0.6076365566194868,6274,40
